rank,city,state,state_abbr,county,score,solar_score,seasonal_score,hazard_resilience_score,affordability_score,annual_solar_kwh_10kw,winter_to_average_ratio,electricity_rate_cents_kwh,fema_disasters_20yr,data_status
1,Las Vegas,Nevada,NV,Clark County,88,95,96,75,87,17583,0.778,15,6,starter estimate
2,Reno,Nevada,NV,Washoe County,86,91,91,75,87,17247,0.752,15,6,starter estimate
3,Boise,Idaho,ID,Ada County,86,85,86,75,100,16838,0.721,12,6,starter estimate
4,Albuquerque,New Mexico,NM,Bernalillo County,85,86,98,71,87,16892,0.787,15,7,starter estimate
5,Henderson,Nevada,NV,Clark County,85,85,96,75,87,16796,0.779,15,6,starter estimate
6,Salt Lake City,Utah,UT,Salt Lake County,84,79,90,75,100,16324,0.743,12,6,starter estimate
7,Phoenix,Arizona,AZ,Maricopa County,83,87,100,66,83,16945,0.799,16,8,starter estimate
8,Tucson,Arizona,AZ,Pima County,83,85,100,66,83,16822,0.809,16,8,starter estimate
9,Mesa,Arizona,AZ,Maricopa County,83,87,100,66,83,16942,0.8,16,8,starter estimate
10,Chandler,Arizona,AZ,Maricopa County,83,87,100,66,83,16931,0.801,16,8,starter estimate
11,Scottsdale,Arizona,AZ,Maricopa County,83,87,100,66,83,16949,0.799,16,8,starter estimate
12,Louisville,Kentucky,KY,Jefferson County,79,63,93,75,96,15075,0.762,13,6,starter estimate
13,El Paso,Texas,TX,El Paso County,77,85,100,41,87,16776,0.813,15,14,starter estimate
14,Cheyenne,Wyoming,WY,Laramie County,77,60,89,75,100,14786,0.74,12,6,starter estimate
15,Indianapolis,Indiana,IN,Marion County,76,62,91,75,87,14923,0.751,15,6,starter estimate
16,Seattle,Washington,WA,King County,76,68,80,66,100,15439,0.69,12,8,starter estimate
17,Portland,Oregon,OR,Multnomah County,76,71,83,66,91,15648,0.706,14,8,starter estimate
18,Lexington,Kentucky,KY,Fayette County,76,55,93,75,96,14396,0.764,13,6,starter estimate
19,Spokane,Washington,WA,Spokane County,76,68,80,66,100,15434,0.69,12,8,starter estimate
20,Memphis,Tennessee,TN,Shelby County,75,67,98,50,96,15385,0.786,13,12,starter estimate
21,Fort Wayne,Indiana,IN,Allen County,75,60,89,75,87,14792,0.741,15,6,starter estimate
22,Little Rock,Arkansas,AR,Pulaski County,75,68,98,50,96,15425,0.789,13,12,starter estimate
23,Billings,Montana,MT,Yellowstone County,75,60,83,75,91,14822,0.704,14,6,starter estimate
24,Nashville,Tennessee,TN,Davidson County,74,66,96,50,96,15284,0.779,13,12,starter estimate
25,Sioux Falls,South Dakota,SD,Minnehaha County,74,57,86,75,91,14546,0.721,14,6,starter estimate
26,Charleston,West Virginia,WV,Kanawha County,74,55,93,75,87,14365,0.762,15,6,starter estimate
27,Houston,Texas,TX,Harris County,73,71,100,41,87,15676,0.826,15,14,starter estimate
28,Austin,Texas,TX,Travis County,73,72,100,41,87,15727,0.824,15,14,starter estimate
29,Denver,Colorado,CO,Denver County,73,62,91,62,87,14926,0.751,15,9,starter estimate
30,Omaha,Nebraska,NE,Douglas County,73,60,89,58,100,14774,0.739,12,10,starter estimate
31,Colorado Springs,Colorado,CO,El Paso County,73,63,92,62,87,15017,0.758,15,9,starter estimate
32,Aurora,Colorado,CO,Arapahoe County,73,62,91,62,87,14927,0.751,15,9,starter estimate
33,Lincoln,Nebraska,NE,Lancaster County,73,60,90,58,100,14819,0.743,12,10,starter estimate
34,Chicago,Illinois,IL,Cook County,72,59,88,75,74,14712,0.734,18,6,starter estimate
35,San Antonio,Texas,TX,Bexar County,72,71,100,41,87,15642,0.826,15,14,starter estimate
36,Kansas City,Missouri,MO,Jackson County,72,62,92,54,91,14990,0.756,14,11,starter estimate
37,Virginia Beach,Virginia,VA,Virginia Beach City,72,56,95,58,91,14515,0.773,14,10,starter estimate
38,Wichita,Kansas,KS,Sedgwick County,72,64,94,54,87,15131,0.767,15,11,starter estimate
39,Corpus Christi,Texas,TX,Nueces County,72,69,100,41,87,15480,0.826,15,14,starter estimate
40,St. Louis,Missouri,MO,St. Louis City,72,63,93,54,91,15037,0.759,14,11,starter estimate
41,Laredo,Texas,TX,Webb County,72,68,100,41,87,15450,0.826,15,14,starter estimate
42,Lubbock,Texas,TX,Lubbock County,72,68,100,41,87,15458,0.798,15,14,starter estimate
43,Des Moines,Iowa,IA,Polk County,72,59,88,62,91,14741,0.737,14,9,starter estimate
44,Dallas,Texas,TX,Dallas County,71,67,100,41,87,15378,0.805,15,14,starter estimate
45,Fort Worth,Texas,TX,Tarrant County,71,67,100,41,87,15376,0.805,15,14,starter estimate
46,Oklahoma City,Oklahoma,OK,Oklahoma County,71,67,97,37,96,15353,0.784,13,15,starter estimate
47,Milwaukee,Wisconsin,WI,Milwaukee County,71,57,86,75,74,14596,0.725,18,6,starter estimate
48,Atlanta,Georgia,GA,Fulton County,71,60,99,50,87,14775,0.797,15,12,starter estimate
49,Tulsa,Oklahoma,OK,Tulsa County,71,66,96,37,96,15285,0.779,13,15,starter estimate
50,Arlington,Texas,TX,Tarrant County,71,67,100,41,87,15374,0.805,15,14,starter estimate
51,Plano,Texas,TX,Collin County,71,68,100,41,87,15402,0.803,15,14,starter estimate
52,Madison,Wisconsin,WI,Dane County,71,57,86,75,74,14593,0.725,18,6,starter estimate
53,Richmond,Virginia,VA,Richmond City,71,56,94,58,91,14446,0.768,14,10,starter estimate
54,Birmingham,Alabama,AL,Jefferson County,71,68,100,41,83,15452,0.799,16,14,starter estimate
55,Knoxville,Tennessee,TN,Knox County,71,58,96,50,96,14604,0.78,13,12,starter estimate
56,Jackson,Mississippi,MS,Hinds County,71,67,100,37,91,15330,0.808,14,15,starter estimate
57,Charlotte,North Carolina,NC,Mecklenburg County,70,58,97,45,91,14677,0.786,14,13,starter estimate
58,Washington,District of Columbia,DC,District of Columbia,70,54,92,75,70,14309,0.757,19,6,starter estimate
59,Savannah,Georgia,GA,Chatham County,70,58,100,50,87,14608,0.81,15,12,starter estimate
60,Wilmington,Delaware,DE,New Castle County,70,53,91,75,74,14226,0.751,18,6,starter estimate
61,Los Angeles,California,CA,Los Angeles County,69,97,99,50,13,17795,0.795,32,12,starter estimate
62,San Diego,California,CA,San Diego County,69,96,100,50,13,17672,0.805,32,12,starter estimate
63,Columbus,Ohio,OH,Franklin County,69,53,91,62,83,14204,0.749,16,9,starter estimate
64,Raleigh,North Carolina,NC,Wake County,69,58,97,45,91,14622,0.781,14,13,starter estimate
65,New Orleans,Louisiana,LA,Orleans Parish,69,71,100,20,96,15695,0.826,13,19,starter estimate
